CHR	BP	ANNOTATE
chr1	154514067	NA
chr1	154514092	NA
chr1	154514203	NA
chr1	154516477	exonic
chr1	154516578	exonic
chr1	154518874	NA
chr1	154519249	NA
chr1	154519800	NA
chr1	154521055	NA
chr1	154521584	NA
chr1	154522248	NA
chr1	154522394	NA
chr1	154525999	NA
chr1	154529421	NA
chr1	154530588	NA
chr1	154531910	NA
chr1	154532034	NA
chr1	154532599	NA
chr1	154540015	NA
chr1	154540225	NA
chr1	154540468	NA
chr1	154540744	NA
chr1	154540865	NA
chr1	154544651	NA
chr1	154545240	NA
chr1	154546744	NA
chr1	154547167	NA
chr1	154547292	NA
chr1	154548521	NA
chr1	154548721	NA
chr1	154548880	NA
chr1	154548946	NA
chr1	154548992	NA
chr1	154549470	NA
chr1	154549471	NA
chr1	154549491	NA
chr1	154550062	NA
chr1	154550724	NA
chr1	154550943	NA
chr1	154551032	NA
chr1	154551095	NA
chr1	154551326	NA
chr1	154551368	NA
chr1	154555492	NA
chr1	154555733	NA
chr1	154556040	NA
chr1	154556266	NA
chr1	154556425	NA
chr1	154556663	NA
chr1	154556760	NA
chr1	154556761	NA
chr1	154561925	exonic
chr1	154563278	NA
chr1	154563735	NA
chr1	154573967	exonic
chr1	154575315	NA
chr1	154575321	NA
chr1	154575613	NA
chr1	154575685	NA
chr1	154579534	NA
chr1	154579585	NA
chr1	154579634	NA
chr1	154579994	NA
chr1	154580015	NA
chr1	154580458	NA
chr1	154580834	NA
chr1	154580887	NA
chr1	154580895	NA
chr1	154581136	NA
chr1	154581231	NA
chr1	154581301	NA
chr1	154581302	NA
chr1	154581950	NA
chr1	154582129	NA
chr1	154589232	NA
chr1	154589628	NA
chr1	154589648	NA
chr1	154589682	NA
chr1	154589931	NA
chr1	154589965	NA
chr1	154592832	NA
chr1	154599500	NA
chr1	154599778	NA
chr1	154599857	NA
chr1	154600533	NA
chr1	154600998	NA
chr1	154601103	NA
chr1	154601157	NA
chr1	154601336	NA
chr1	154601736	NA
chr1	154616035	NA
chr1	154616283	NA
chr1	154616804	NA
chr1	154616992	NA
chr1	154617127	NA
chr1	154619234	NA
chr1	154636276	NA
chr1	154642224	NA
chr1	154642609	NA
chr1	154669067	NA
chr1	154669073	NA
chr1	154670136	NA
chr1	154670830	NA
chr1	154675520	NA
chr1	154675815	NA
chr1	154676408	NA
chr1	154677304	NA
chr1	154677716	NA
chr1	154677863	NA
chr1	154677952	NA
chr1	154677953	NA
chr1	154677979	NA
chr1	154678537	NA
chr1	154678699	NA
chr1	154678986	NA
chr1	154679567	NA
chr1	154679728	NA
chr1	154687171	NA
chr1	154687229	NA
chr1	154690089	NA
chr1	154695670	NA
chr1	154695678	NA
chr1	154696490	NA
chr1	154696943	NA
chr1	154697333	NA
chr1	154697336	NA
chr1	154697337	NA
chr1	154699134	NA
chr1	154709623	NA
chr1	154711297	NA
chr1	154721751	NA
chr1	154721780	NA
chr1	154725264	NA
chr1	154729064	NA
chr1	154732776	NA
chr1	154732923	NA
chr1	154733000	NA
chr1	154733154	NA
chr1	154733223	NA
chr1	154738568	NA
chr1	154738779	NA
chr1	154741357	NA
chr1	154744141	NA
chr1	154744502	exonic
chr1	154744807	exonic
chr1	154744852	exonic
chr1	154756985	NA
chr1	154757007	NA
chr1	154757273	NA
chr1	154757293	NA
chr1	154758219	NA
chr1	154758313	NA
chr1	154758322	NA
chr1	154758422	NA
chr1	154764448	NA
chr1	154769065	NA
chr1	154780967	NA
chr1	154781408	NA
chr1	154782626	NA
chr1	154785920	NA
chr1	154786048	NA
chr1	154786262	NA
chr1	154786686	NA
chr1	154792269	NA
chr1	154792272	NA
chr1	154804988	NA
chr1	154808287	NA
chr1	154809253	NA
chr1	154809290	NA
chr1	154811127	NA
chr1	154812238	NA
chr1	154812280	NA
chr1	154813493	NA
chr1	154814353	NA
chr1	154814462	NA
chr1	154814538	NA
chr1	154814785	NA
chr1	154814812	NA
chr1	154814917	NA
chr1	154817687	NA
chr1	154818403	NA
chr1	154818509	NA
chr1	154819359	NA
chr1	154819680	NA
chr1	154819684	NA
chr1	154820444	NA
chr1	154824330	NA
chr1	154827861	NA
chr1	154832290	NA
chr1	154832304	NA
chr1	154832322	NA
chr1	154832661	NA
chr1	154832711	NA
chr1	154833004	NA
chr1	154833059	NA
chr1	154833067	NA
chr1	154836137	NA
chr1	154836418	NA
chr1	154836444	NA
chr1	154839686	NA
chr1	154839793	NA
chr1	154839799	NA
chr1	154840287	NA
chr1	154840516	NA
chr1	154840673	NA
chr1	154843347	NA
chr1	154844227	NA
chr1	154844351	NA
chr1	154844378	NA
chr1	154849260	NA
chr1	154849479	NA
chr1	154849590	NA
chr1	154849661	NA
chr1	154849771	NA
chr1	154850445	NA
chr1	154859038	NA
chr1	154884142	NA
chr1	154885779	NA
chr1	154885782	NA
chr1	154886032	NA
chr1	154897494	NA
chr1	154901525	exonic
chr1	154904840	exonic
chr1	154908258	NA
chr1	154908333	NA
chr1	154909169	NA
chr1	154909268	NA
chr1	154909748	NA
chr1	154910012	NA
chr1	154910321	NA
chr1	154910729	NA
chr1	154910750	NA
chr1	154910930	NA
chr1	154911257	NA
chr1	154911651	NA
chr1	154911689	NA
chr1	154911798	NA
chr1	154911922	NA
chr1	154912544	NA
chr1	154912840	NA
chr1	154912968	NA
chr1	154913021	NA
chr1	154913404	NA
chr1	154913672	NA
chr1	154913687	NA
chr1	154913723	NA
chr1	154914198	NA
chr1	154916465	NA
chr1	154916489	NA
chr1	154916566	NA
chr1	154917002	NA
chr1	154917314	NA
chr1	154917551	exonic
chr1	154918244	exonic
chr1	154918352	exonic
chr1	154919080	exonic
chr1	154919160	exonic
chr1	154920715	exonic
chr1	154920986	NA
chr1	154921516	NA
chr1	154924015	NA
chr1	154925989	NA
chr1	154926886	NA
chr1	154928707	NA
chr1	154928873	NA
chr1	154929408	NA
chr1	154930023	NA
chr1	154930303	NA
chr1	154932101	exonic
chr1	154934305	NA
chr1	154934665	NA
chr1	154935253	NA
chr1	154936428	NA
chr1	154938214	exonic
chr1	154938235	exonic
chr1	154938662	exonic
chr1	154938954	exonic
chr1	154941593	NA
chr1	154941706	NA
chr1	154943356	NA
chr1	154943881	NA
chr1	154944156	NA
chr1	154945047	NA
chr1	154945901	NA
chr1	154946074	NA
chr1	154946517	NA
chr1	154946696	NA
chr1	154947496	NA
chr1	154948327	NA
chr1	154950726	NA
chr1	154954466	NA
chr1	154954608	NA
chr1	154955724	NA
chr1	154956662	NA
chr1	154956985	NA
chr1	154957705	NA
chr1	154958067	NA
chr1	154959882	NA
chr1	154960019	NA
chr1	154961448	NA
chr1	154961458	NA
chr1	154963290	NA
chr1	154963662	NA
chr1	154965113	intronic
chr1	154967344	NA
chr1	154967625	NA
chr1	154967952	NA
chr1	154968260	NA
chr1	154968316	NA
chr1	154969355	NA
chr1	154969457	NA
chr1	154969515	NA
chr1	154969646	NA
chr1	154970510	NA
chr1	154970659	NA
chr1	154970972	NA
chr1	154974619	NA
chr1	154974920	NA
chr1	154976137	NA
chr1	154976518	NA
chr1	154977113	NA
chr1	154977929	NA
chr1	154979561	NA
chr1	154979973	NA
chr1	154980341	NA
chr1	154980351	NA
chr1	154981708	NA
chr1	154983036	NA
chr1	154983539	NA
chr1	154983930	NA
chr1	154984363	NA
chr1	154985081	NA
chr1	154986091	NA
chr1	154986793	NA
chr1	154987526	exonic
chr1	154987704	exonic
chr1	154987706	exonic
chr1	154988255	exonic
chr1	154988957	exonic
chr1	154989595	NA
chr1	154989971	NA
chr1	154990297	NA
chr1	154990977	NA
chr1	154991389	NA
chr1	154995503	NA
chr1	154995909	exonic
chr1	154995920	exonic
chr1	154996385	exonic
chr1	154996815	NA
chr1	154996895	NA
chr1	154997263	NA
chr1	154997491	NA
chr1	154997572	NA
chr1	154997674	NA
chr1	154998034	NA
chr1	154998054	NA
chr1	154999503	NA
chr1	154999514	NA
chr1	155001929	NA
chr1	155003605	NA
chr1	155003954	NA
chr1	155004038	NA
chr1	155004774	NA
chr1	155004880	NA
chr1	155006091	exonic
chr1	155006450	NA
chr1	155006451	NA
chr1	155006999	exonic
chr1	155010157	NA
chr1	155011237	NA
chr1	155012139	NA
chr1	155012282	NA
chr1	155012545	NA
chr1	155015795	NA
chr1	155016127	NA
chr1	155016389	NA
chr1	155016724	NA
chr1	155017385	NA
chr1	155017432	NA
chr1	155019710	exonic
chr1	155020722	NA
chr1	155020836	NA
chr1	155021998	NA
chr1	155022480	NA
chr1	155023634	NA
chr1	155024095	NA
chr1	155024309	NA
chr1	155025301	NA
chr1	155025361	NA
chr1	155026114	NA
chr1	155026259	NA
chr1	155026871	exonic
chr1	155026942	exonic
chr1	155027763	NA
chr1	155028522	NA
chr1	155030557	exonic
chr1	155033308	exonic
chr1	155033572	NA
chr1	155033918	exonic
chr1	155034632	NA
chr1	155035611	NA
chr1	155037564	NA
chr1	155037669	NA
chr1	155037996	NA
chr1	155039464	exonic
chr1	155042886	NA
chr1	155043307	NA
chr1	155043310	NA
chr1	155043325	NA
chr1	155043356	NA
chr1	155043400	NA
chr1	155043436	NA
chr1	155043812	NA
chr1	155047719	NA
chr1	155048369	NA
chr1	155049402	NA
chr1	155049414	NA
chr1	155050595	NA
chr1	155050723	NA
chr1	155051292	NA
chr1	155053470	NA
chr1	155053607	NA
chr1	155053682	NA
chr1	155053719	NA
chr1	155053728	NA
chr1	155053977	NA
chr1	155054585	NA
chr1	155054632	NA
chr1	155054743	NA
chr1	155055127	NA
chr1	155055496	NA
chr1	155055863	NA
chr1	155056391	NA
chr1	155057335	NA
chr1	155057499	NA
chr1	155057540	NA
chr1	155057645	exonic
chr1	155057890	NA
chr1	155058046	NA
chr1	155058452	NA
chr1	155058663	exonic
chr1	155058816	NA
chr1	155059035	NA
chr1	155059063	NA
chr1	155059575	NA
chr1	155059851	NA
chr1	155059869	NA
chr1	155064853	NA
chr1	155065159	NA
chr1	155066317	NA
chr1	155066403	NA
chr1	155066416	NA
chr1	155074903	NA
chr1	155092807	NA
chr1	155095977	NA
chr1	155097562	NA
chr1	155099572	NA
chr1	155099852	NA
chr1	155099947	NA
chr1	155099963	NA
chr1	155100231	NA
chr1	155100265	NA
chr1	155101141	NA
chr1	155101171	NA
chr1	155102013	NA
chr1	155102097	NA
chr1	155102709	NA
chr1	155103147	NA
chr1	155104213	NA
chr1	155105016	NA
chr1	155105066	NA
chr1	155105388	NA
chr1	155105882	NA
chr1	155106054	NA
chr1	155106095	NA
chr1	155106227	exonic
chr1	155106550	NA
chr1	155106697	NA
chr1	155106768	NA
chr1	155108167	NA
chr1	155108287	NA
chr1	155108659	NA
chr1	155109973	NA
chr1	155111307	NA
chr1	155111409	NA
chr1	155113074	NA
chr1	155113104	NA
chr1	155140023	NA
chr1	155140027	NA
chr1	155140648	NA
chr1	155142229	NA
chr1	155143946	NA
chr1	155144204	NA
chr1	155144300	NA
chr1	155144757	NA
chr1	155145392	NA
chr1	155147781	NA
chr1	155148520	exonic
chr1	155148779	NA
chr1	155148781	NA
chr1	155149220	NA
chr1	155149257	NA
chr1	155149718	exonic
chr1	155151754	NA
chr1	155151837	NA
chr1	155155731	NA
chr1	155155775	NA
chr1	155157080	NA
chr1	155157445	NA
chr1	155157635	NA
chr1	155157715	NA
chr1	155157853	NA
chr1	155158605	UTR3
chr1	155160556	NA
chr1	155160941	exonic
chr1	155161168	NA
chr1	155161794	exonic
chr1	155161833	exonic
chr1	155162067	exonic
chr1	155163053	NA
chr1	155164480	NA
chr1	155164539	NA
chr1	155167786	NA
chr1	155168145	NA
chr1	155168849	NA
chr1	155168930	NA
chr1	155169252	NA
chr1	155169355	NA
chr1	155171811	exonic
chr1	155172025	NA
chr1	155172379	NA
chr1	155172579	NA
chr1	155172725	exonic
chr1	155173374	NA
chr1	155173527	NA
chr1	155174106	NA
chr1	155175089	exonic
chr1	155175390	NA
chr1	155175892	NA
chr1	155176480	NA
chr1	155177047	NA
chr1	155178782	exonic
chr1	155179312	NA
chr1	155179766	NA
chr1	155181946	exonic
chr1	155181989	exonic
chr1	155182164	NA
chr1	155184367	ncRNA_exonic
chr1	155186729	ncRNA_exonic
chr1	155186742	ncRNA_exonic
chr1	155187144	ncRNA_exonic
chr1	155188130	NA
chr1	155188761	NA
chr1	155188811	NA
chr1	155189373	NA
chr1	155194679	NA
chr1	155194980	NA
chr1	155195215	NA
chr1	155196717	NA
chr1	155197268	NA
chr1	155197421	NA
chr1	155197462	NA
chr1	155197553	NA
chr1	155197602	NA
chr1	155197827	NA
chr1	155198222	NA
chr1	155198264	NA
chr1	155198347	NA
chr1	155202689	NA
chr1	155203060	NA
chr1	155205331	NA
chr1	155206037	exonic
chr1	155206167	exonic
chr1	155208624	NA
chr1	155208647	NA
chr1	155209297	NA
chr1	155209360	NA
chr1	155211106	NA
chr1	155212100	NA
chr1	155213124	NA
chr1	155213856	NA
chr1	155214007	NA
chr1	155214066	NA
chr1	155214473	NA
chr1	155215262	NA
chr1	155217435	NA
chr1	155217638	exonic
chr1	155218067	exonic
chr1	155218168	NA
chr1	155218301	NA
chr1	155218365	NA
chr1	155218446	NA
chr1	155218678	NA
chr1	155219102	NA
chr1	155219207	NA
chr1	155220879	NA
chr1	155221837	NA
chr1	155222177	NA
chr1	155222472	NA
chr1	155222483	NA
chr1	155222493	NA
chr1	155222729	NA
chr1	155222730	NA
chr1	155223007	NA
chr1	155224091	NA
chr1	155224301	NA
chr1	155224985	NA
chr1	155225025	NA
chr1	155225335	NA
chr1	155225848	NA
chr1	155226215	NA
chr1	155230131	exonic
chr1	155230308	NA
chr1	155230432	exonic
chr1	155230912	NA
chr1	155231201	NA
chr1	155231545	NA
chr1	155231927	exonic
chr1	155232074	NA
chr1	155232867	NA
chr1	155237204	NA
chr1	155237639	NA
chr1	155237669	NA
chr1	155238770	NA
chr1	155239624	NA
chr1	155240077	NA
chr1	155240371	NA
chr1	155240610	exonic
chr1	155241103	NA
chr1	155241361	NA
chr1	155241824	NA
chr1	155241825	NA
chr1	155241922	NA
chr1	155242076	NA
chr1	155243922	NA
chr1	155244092	NA
chr1	155244100	NA
chr1	155244356	NA
chr1	155244374	NA
chr1	155247587	exonic
chr1	155247707	NA
chr1	155248113	NA
chr1	155248575	NA
chr1	155251649	NA
chr1	155252286	exonic
chr1	155252833	NA
chr1	155253262	NA
chr1	155253286	NA
chr1	155253308	NA
chr1	155253495	NA
chr1	155253583	NA
chr1	155254911	NA
chr1	155256651	NA
chr1	155257818	exonic
chr1	155258752	NA
chr1	155258756	NA
chr1	155259323	NA
chr1	155259470	NA
chr1	155260096	NA
chr1	155260350	NA
chr1	155260383	exonic
chr1	155261649	exonic
chr1	155265177	NA
chr1	155265446	NA
chr1	155271334	NA
chr1	155271433	NA
chr1	155276939	NA
chr1	155277204	NA
chr1	155277963	NA
chr1	155279482	NA
chr1	155280164	NA
chr1	155281689	NA
chr1	155281766	NA
chr1	155281851	NA
chr1	155286822	NA
chr1	155287241	NA
chr1	155290231	exonic
chr1	155291050	exonic
chr1	155291253	exonic
chr1	155291431	NA
chr1	155292558	exonic
chr1	155295681	exonic
chr1	155296307	NA
chr1	155300335	exonic
chr1	155300382	NA
chr1	155305361	NA
chr1	155306064	NA
chr1	155306195	NA
chr1	155306440	NA
chr1	155311658	NA
chr1	155312029	NA
chr1	204388533	NA
chr1	204388864	NA
chr1	204388944	NA
chr1	204388996	NA
chr1	204389134	NA
chr1	204389155	NA
chr1	204389170	NA
chr1	204389314	NA
chr1	204392257	NA
chr1	204392442	NA
chr1	204392553	NA
chr1	204392561	NA
chr1	204392849	NA
chr1	204396830	exonic
chr1	204399061	exonic
chr1	204399064	exonic
chr1	204400650	NA
chr1	204400783	NA
chr1	204401059	NA
chr1	204402500	exonic
chr1	204403659	exonic
chr1	204408135	exonic
chr1	204410795	NA
chr1	204411063	NA
chr1	204411084	NA
chr1	204411144	NA
chr1	204411357	NA
chr1	204411942	NA
chr1	204412588	exonic
chr1	204413297	NA
chr1	204413299	NA
chr1	204413740	NA
chr1	204413748	NA
chr1	204413845	NA
chr1	204413986	NA
chr1	204414654	NA
chr1	204415493	NA
chr1	204415513	NA
chr1	204415609	NA
chr1	204415750	NA
chr1	204417910	NA
chr1	204417917	NA
chr1	204417972	NA
chr1	204417986	NA
chr1	204423811	exonic
chr1	204424232	NA
chr1	204424473	NA
chr1	204425028	exonic
chr1	204425431	NA
chr1	204425461	NA
chr1	204425493	NA
chr1	204426052	NA
chr1	204426183	exonic
chr1	204426295	NA
chr1	204426373	NA
chr1	204426400	NA
chr1	204426780	NA
chr1	204427107	NA
chr1	204427361	NA
chr1	204427617	NA
chr1	204427780	NA
chr1	204427933	NA
chr1	204428452	NA
chr1	204428703	NA
chr1	204428780	NA
chr1	204429212	NA
chr1	204429213	NA
chr1	204429215	NA
chr1	204429216	NA
chr1	204429838	NA
chr1	204430194	NA
chr1	204430462	NA
chr1	204434322	NA
chr1	204434438	exonic
chr1	204434771	NA
chr1	204434927	NA
chr1	204435420	NA
chr1	204435447	NA
chr1	204435612	NA
chr1	204438113	exonic
chr1	204438334	exonic
chr1	204438405	exonic
chr1	204438643	exonic
chr1	204439259	NA
chr1	204445035	NA
chr1	204446688	NA
chr1	204448062	NA
chr1	204448439	NA
chr1	204448547	NA
chr1	204449157	NA
chr1	204449434	NA
chr1	204449952	NA
chr1	204450341	NA
chr1	204450373	NA
chr1	204451086	NA
chr1	204451495	NA
chr1	204459528	NA
chr1	204459761	NA
chr1	204459786	NA
chr1	204459946	NA
chr1	204460681	NA
chr1	204461622	NA
chr1	204462050	NA
chr1	204462586	NA
chr1	204463302	NA
chr1	204463877	NA
chr1	204463982	NA
chr1	204464150	NA
chr1	204464181	NA
chr1	204464298	NA
chr1	204464446	NA
chr1	204464884	NA
chr1	204475503	NA
chr1	204475513	NA
chr1	204475645	NA
chr1	204475762	NA
chr1	204475830	NA
chr1	204475834	NA
chr1	204476113	NA
chr1	204476246	NA
chr1	204476251	NA
chr1	204476361	NA
chr1	204476992	NA
chr1	204477099	NA
chr1	204477276	NA
chr1	204477525	NA
chr1	204477770	NA
chr1	204477977	NA
chr1	204478649	NA
chr1	204484549	NA
chr1	204484557	NA
chr1	204484584	NA
chr1	204484617	NA
chr1	204485572	NA
chr1	204485825	NA
chr1	204486205	NA
chr1	204486242	NA
chr1	204490470	NA
chr1	204493688	NA
chr1	204493844	NA
chr1	204494283	NA
chr1	204494436	NA
chr1	204494576	NA
chr1	204495253	NA
chr1	204499056	NA
chr1	204499880	exonic
chr1	204501383	NA
chr1	204505976	NA
chr1	204506077	NA
chr1	204506107	NA
chr1	204506174	NA
chr1	204511009	NA
chr1	204518842	NA
chr1	204519187	NA
chr1	204519355	NA
chr1	204519456	NA
chr1	204519761	NA
chr1	204519816	NA
chr1	204519882	NA
chr1	204520044	NA
chr1	204520209	NA
chr1	204520589	NA
chr1	204520972	NA
chr1	204521271	NA
chr1	204521516	NA
chr1	204521577	NA
chr1	204522457	NA
chr1	204522489	NA
chr1	204522588	NA
chr1	204523263	NA
chr1	204524474	NA
chr1	204524798	NA
chr1	204525132	NA
chr1	204525172	NA
chr1	204525226	NA
chr1	204525568	NA
chr1	204525925	NA
chr1	204526047	NA
chr1	204526721	NA
chr1	204527057	NA
chr1	204527202	NA
chr1	204528149	NA
chr1	204532659	NA
chr1	204534460	NA
chr1	204534571	NA
chr1	204534808	NA
chr1	204535085	NA
chr1	204535107	NA
chr1	204535174	NA
chr1	204535352	NA
chr1	204535375	NA
chr1	204538447	NA
chr1	204538511	NA
chr1	204539339	NA
chr1	204539462	NA
chr1	204541461	NA
chr1	204541526	NA
chr1	204542521	NA
chr1	204542580	NA
chr1	204545351	NA
chr1	204548416	NA
chr1	204548572	NA
chr1	204554594	NA
chr1	204554603	NA
chr1	204557985	NA
chr1	204558070	NA
chr1	204560677	NA
chr1	204560990	NA
chr1	204563548	NA
chr1	204563817	NA
chr1	204566152	NA
chr1	204566183	NA
chr1	204570658	NA
chr1	204572071	NA
chr1	204572133	NA
chr1	204584385	NA
chr1	204585249	NA
chr1	204586805	NA
chr1	204586812	NA
chr1	204587047	exonic
chr1	204587173	exonic
chr1	204587240	exonic
chr1	204587569	exonic
chr1	204587918	exonic
chr1	204588140	exonic
chr1	204588668	exonic
chr1	204588926	exonic
chr1	204589057	exonic
chr1	204589066	exonic
chr1	204589101	exonic
chr1	204589623	NA
chr1	204590044	NA
chr1	204591237	NA
chr1	204593395	NA
chr1	204595592	NA
chr1	204595645	NA
chr1	204599978	NA
chr1	204606574	NA
chr1	204606664	NA
chr2	9617951	NA
chr2	9618133	NA
chr2	9620701	NA
chr2	9620730	NA
chr2	9620740	NA
chr2	9620747	NA
chr2	9620846	NA
chr2	9620847	NA
chr2	9621322	NA
chr2	9624643	exonic
chr2	9625968	NA
chr2	9626052	NA
chr2	9626573	NA
chr2	9628531	NA
chr2	9629285	NA
chr2	9629545	NA
chr2	9629731	NA
chr2	9630016	NA
chr2	9630231	NA
chr2	9630244	NA
chr2	9630541	exonic
chr2	9633092	exonic
chr2	9634856	exonic
chr2	9637085	NA
chr2	9637331	exonic
chr2	9637403	NA
chr2	9640217	NA
chr2	9647021	NA
chr2	9647091	NA
chr2	9661775	NA
chr2	9661801	NA
chr2	9661968	NA
chr2	9661970	NA
chr2	9662210	NA
chr2	9662410	NA
chr2	9662820	NA
chr2	9663514	NA
chr2	9663873	NA
chr2	9664164	NA
chr2	9664182	NA
chr2	9667751	NA
chr2	9678448	NA
chr2	9692850	NA
chr2	9694209	NA
chr2	9694390	NA
chr2	9694620	NA
chr2	9694778	NA
chr2	9695282	NA
chr2	9695888	NA
chr2	9695906	NA
chr2	9696436	NA
chr2	9696465	NA
chr2	9696564	NA
chr2	9696620	NA
chr2	9697067	NA
chr2	9697171	NA
chr2	9697221	NA
chr2	9697372	NA
chr2	9697406	NA
chr2	9697514	NA
chr2	9697515	NA
chr2	9697524	NA
chr2	9697531	NA
chr2	9697532	NA
chr2	9697533	NA
chr2	9697535	NA
chr2	9698394	NA
chr2	9699313	NA
chr2	9704843	NA
chr2	9704988	NA
chr2	9705001	NA
chr2	9705002	NA
chr2	9705003	NA
chr2	9705004	NA
chr2	9705709	NA
chr2	9705784	NA
chr2	9705899	NA
chr2	9705905	NA
chr2	9707741	NA
chr2	9707828	NA
chr2	9707947	NA
chr2	9724610	NA
chr2	9725817	NA
chr2	9725920	NA
chr2	9726538	NA
chr2	9726599	NA
chr2	9726601	NA
chr2	9726676	NA
chr2	9727657	NA
chr2	9734937	NA
chr2	9748419	NA
chr2	9748518	NA
chr2	9749002	NA
chr2	9753692	NA
chr2	9753732	NA
chr2	9753939	NA
chr2	9754086	NA
chr2	9769244	NA
chr2	9769521	NA
chr2	9769591	NA
chr2	9769770	NA
chr2	9770050	NA
chr2	9770589	NA
chr2	9770613	NA
chr2	9770842	NA
chr2	9771200	NA
chr2	9771620	NA
chr2	9771944	NA
chr2	9776569	NA
chr2	9777602	NA
chr2	9783635	NA
chr2	9783689	NA
chr2	9783800	NA
chr2	9784356	NA
chr2	9784399	NA
chr2	9784741	NA
chr2	9785060	NA
chr2	9785062	NA
chr2	9785267	NA
chr2	9785377	NA
chr2	9786210	NA
chr2	9786218	NA
chr2	9786294	NA
chr2	9786307	NA
chr2	9786695	NA
chr2	9786995	NA
chr2	9787112	NA
chr2	9787131	NA
chr2	9788315	NA
chr2	9788338	NA
chr2	9788440	NA
chr2	9788453	NA
chr2	9788503	NA
chr2	9788703	NA
chr2	9789403	NA
chr2	9795688	NA
chr2	9795757	NA
chr2	9795776	NA
chr2	9795825	NA
chr2	9796662	NA
chr2	9796680	NA
chr2	9801693	NA
chr2	9801744	NA
chr2	9801778	NA
chr2	9801779	NA
chr2	9801788	NA
chr2	9801803	NA
chr2	9801822	NA
chr2	9809129	NA
chr2	9809467	NA
chr2	9809611	NA
chr2	9814374	NA
chr2	9814481	NA
chr2	9815599	NA
chr2	9815766	NA
chr2	9824511	NA
chr2	9826357	NA
chr2	9826402	NA
chr2	9826461	NA
chr2	9830621	NA
chr2	9830625	NA
chr2	9832809	NA
chr2	9836992	NA
chr2	9837021	NA
chr2	9837055	NA
chr2	9844069	NA
chr2	9849695	NA
chr2	9876314	NA
chr2	9877600	NA
chr2	9877653	NA
chr2	9877661	NA
chr2	9877679	NA
chr2	9877681	NA
chr2	9877785	NA
chr2	9877786	NA
chr2	9877896	NA
chr2	9877903	NA
chr2	9877916	NA
chr2	9877919	NA
chr2	9880897	NA
chr2	9880937	NA
chr2	9886880	NA
chr2	9888881	NA
chr2	9891483	NA
chr2	9892753	NA
chr2	9892763	NA
chr2	9892899	NA
chr2	9893454	NA
chr2	9894459	NA
chr2	9898172	NA
chr2	9898261	NA
chr2	9898350	NA
chr2	9898712	NA
chr2	9906299	NA
chr2	9906471	NA
chr2	9908651	NA
chr2	9909330	NA
chr2	9909546	NA
chr2	9909640	NA
chr2	9909683	NA
chr2	9910191	NA
chr2	9910336	NA
chr2	9910337	NA
chr2	9910849	NA
chr2	9911016	NA
chr2	9911082	NA
chr2	9911167	NA
chr2	9911521	NA
chr2	9911543	NA
chr2	9911567	NA
chr2	9911758	NA
chr2	9911957	NA
chr2	9912089	NA
chr2	9913515	NA
chr2	9913645	NA
chr2	9916532	NA
chr2	9916545	NA
chr2	9918258	NA
chr2	9918352	NA
chr2	9918417	NA
chr2	9918926	NA
chr2	9919175	NA
chr2	9919339	NA
chr2	9919366	NA
