CHR,START,END,DATA,CHRN,REGIONBED
chr5,172439426,173444400,OncoArrayFineMapping,5,chr5_172439426_173444400
chr6,10719030,11719030,OncoArrayFineMapping,6,chr6_10719030_11719030
chr6,29573776,30573776,OncoArrayFineMapping,6,chr6_29573776_30573776
chr6,30618511,32900939,OncoArrayFineMapping,6,chr6_30618511_32900939
chr6,41036427,42043793,OncoArrayFineMapping,6,chr6_41036427_42043793
chr6,108779211,109785189,OncoArrayFineMapping,6,chr6_108779211_109785189
chr6,116666036,117710052,OncoArrayFineMapping,6,chr6_116666036_117710052
chr6,152932566,153941079,OncoArrayFineMapping,6,chr6_152932566_153941079
chr6,160081543,161382029,OncoArrayFineMapping,6,chr6_160081543_161382029
chr7,20494491,21496953,OncoArrayFineMapping,7,chr7_20494491_21496953
chr7,27091215,28476563,OncoArrayFineMapping,7,chr7_27091215_28476563
chr7,46937244,47937244,OncoArrayFineMapping,7,chr7_46937244_47937244
chr7,97307882,98316327,OncoArrayFineMapping,7,chr7_97307882_98316327
chr8,22938975,24028511,OncoArrayFineMapping,8,chr8_22938975_24028511
chr8,25392142,26410156,OncoArrayFineMapping,8,chr8_25392142_26410156
chr9,21541998,22541998,OncoArrayFineMapping,9,chr9_21541998_22541998
chr9,109651379,110656300,OncoArrayFineMapping,9,chr9_109651379_110656300
chr10,45582985,46582985,OncoArrayFineMapping,10,chr10_45582985_46582985
chr10,51049496,52049496,OncoArrayFineMapping,10,chr10_51049496_52049496
chr10,103914221,104915094,OncoArrayFineMapping,10,chr10_103914221_104915094
chr10,122283141,123344709,OncoArrayFineMapping,10,chr10_122283141_123344709
chr10,126140936,127196872,OncoArrayFineMapping,10,chr10_126140936_127196872
chr11,1733574,2734093,OncoArrayFineMapping,11,chr11_1733574_2734093
chr11,58415110,59610571,OncoArrayFineMapping,11,chr11_58415110_59610571
chr11,68484602,69953985,OncoArrayFineMapping,11,chr11_68484602_69953985
chr11,101901661,102901661,OncoArrayFineMapping,11,chr11_101901661_102901661
chr11,113307181,114307181,OncoArrayFineMapping,11,chr11_113307181_114307181
chr12,47919618,48919618,OncoArrayFineMapping,12,chr12_47919618_48919618
chr12,49176010,50176010,OncoArrayFineMapping,12,chr12_49176010_50176010
chr12,52773904,53816821,OncoArrayFineMapping,12,chr12_52773904_53816821
chr12,114185571,115584059,OncoArrayFineMapping,12,chr12_114185571_115584059
chr13,73228139,74468916,OncoArrayFineMapping,13,chr13_73228139_74468916
chr14,52872330,53889699,OncoArrayFineMapping,14,chr14_52872330_53889699
chr14,68502988,69626744,OncoArrayFineMapping,14,chr14_68502988_69626744
chr14,70592256,71592256,OncoArrayFineMapping,14,chr14_70592256_71592256
chr17,118965,1119162,OncoArrayFineMapping,17,chr17_118965_1119162
chr17,35547276,36603565,OncoArrayFineMapping,17,chr17_35547276_36603565
chr17,46302314,47211374,OncoArrayFineMapping,17,chr17_46302314_47211374
chr17,47211375,47952263,OncoArrayFineMapping,17,chr17_47211375_47952263
chr17,68608753,69617214,OncoArrayFineMapping,17,chr17_68608753_69617214
chr18,76270820,77273973,OncoArrayFineMapping,18,chr18_76270820_77273973
chr19,38235613,39244733,OncoArrayFineMapping,19,chr19_38235613_39244733
chr19,41485587,42485931,OncoArrayFineMapping,19,chr19_41485587_42485931
chr19,50840794,51864623,OncoArrayFineMapping,19,chr19_50840794_51864623
chr20,49027922,50027922,OncoArrayFineMapping,20,chr20_49027922_50027922
chr20,61862563,62874389,OncoArrayFineMapping,20,chr20_61862563_62874389
chr21,42401421,43401421,OncoArrayFineMapping,21,chr21_42401421_43401421
chr22,19257892,20257892,OncoArrayFineMapping,22,chr22_19257892_20257892
chr22,39952119,41297933,OncoArrayFineMapping,22,chr22_39952119_41297933
chr22,43000212,44013156,OncoArrayFineMapping,22,chr22_43000212_44013156
chrX,9314135,10314135,OncoArrayFineMapping,23,chrX_9314135_10314135
chrX,50741672,51741672,OncoArrayFineMapping,23,chrX_50741672_51741672
chrX,52396949,53396949,OncoArrayFineMapping,23,chrX_52396949_53396949
chrX,66521550,67521550,OncoArrayFineMapping,23,chrX_66521550_67521550
chrX,69639850,70907983,OncoArrayFineMapping,23,chrX_69639850_70907983
chr1,87711000,88712000,OncoArrayMeta,1,chr1_87711000_88712000
chr1,153400000,154401000,OncoArrayMeta,1,chr1_153400000_154401000
chr1,188776000,189777000,OncoArrayMeta,1,chr1_188776000_189777000
chr2,8097000,9098000,OncoArrayMeta,2,chr2_8097000_9098000
chr2,66153000,67154000,OncoArrayMeta,2,chr2_66153000_67154000
chr2,111393000,112394000,OncoArrayMeta,2,chr2_111393000_112394000
chr2,173735000,174736000,OncoArrayMeta,2,chr2_173735000_174736000
chr2,201623000,202624000,OncoArrayMeta,2,chr2_201623000_202624000
chr3,106463000,107464000,OncoArrayMeta,3,chr3_106463000_107464000
chr3,151504000,152505000,OncoArrayMeta,3,chr3_151504000_152505000
chr3,168593000,169594000,OncoArrayMeta,3,chr3_168593000_169594000
chr5,133336000,134337000,OncoArrayMeta,5,chr5_133336000_134337000
chr5,168672000,169673000,OncoArrayMeta,5,chr5_168672000_169673000
chr5,177469000,178470000,OncoArrayMeta,5,chr5_177469000_178470000
chr6,30101000,31102000,OncoArrayMeta,6,chr6_30101000_31102000
chr6,32489000,33490000,OncoArrayMeta,6,chr6_32489000_33490000
chr6,34293000,35294000,OncoArrayMeta,6,chr6_34293000_35294000
chr6,43195000,44196000,OncoArrayMeta,6,chr6_43195000_44196000
chr7,1445000,2446000,OncoArrayMeta,7,chr7_1445000_2446000
chr7,19914000,20915000,OncoArrayMeta,7,chr7_19914000_20915000
chr7,40375000,41376000,OncoArrayMeta,7,chr7_40375000_41376000
chr9,18556000,19557000,OncoArrayMeta,9,chr9_18556000_19557000
chr9,33550000,34551000,OncoArrayMeta,9,chr9_33550000_34551000
chr9,132076000,133077000,OncoArrayMeta,9,chr9_132076000_133077000
chr10,355000,1356000,OncoArrayMeta,10,chr10_355000_1356000
chr10,45057000,46058000,OncoArrayMeta,10,chr10_45057000_46058000
chr10,47046000,48047000,OncoArrayMeta,10,chr10_47046000_48047000
chr10,89695000,90696000,OncoArrayMeta,10,chr10_89695000_90696000
chr10,114212000,115213000,OncoArrayMeta,10,chr10_114212000_115213000
chr11,1008000,2009000,OncoArrayMeta,11,chr11_1008000_2009000
chr11,7048000,8049000,OncoArrayMeta,11,chr11_7048000_8049000
chr11,46922000,47923000,OncoArrayMeta,11,chr11_46922000_47923000
chr11,61408000,62409000,OncoArrayMeta,11,chr11_61408000_62409000
chr11,66452000,67453000,OncoArrayMeta,11,chr11_66452000_67453000
chr11,75761000,76762000,OncoArrayMeta,11,chr11_75761000_76762000
chr11,107643000,108644000,OncoArrayMeta,11,chr11_107643000_108644000
chr11,124555000,125556000,OncoArrayMeta,11,chr11_124555000_125556000
chr11,133766000,134767000,OncoArrayMeta,11,chr11_133766000_134767000
chr12,12371000,13372000,OncoArrayMeta,12,chr12_12371000_13372000
chr12,13917000,14918000,OncoArrayMeta,12,chr12_13917000_14918000
chr12,64513000,65514000,OncoArrayMeta,12,chr12_64513000_65514000
chr12,89661000,90662000,OncoArrayMeta,12,chr12_89661000_90662000
chr12,132568000,133569000,OncoArrayMeta,12,chr12_132568000_133569000
chr14,22806000,23807000,OncoArrayMeta,14,chr14_22806000_23807000
chr14,36638000,37639000,OncoArrayMeta,14,chr14_36638000_37639000
chr15,40423000,41424000,OncoArrayMeta,15,chr15_40423000_41424000
chr15,55886000,56887000,OncoArrayMeta,15,chr15_55886000_56887000
chr15,66265000,67266000,OncoArrayMeta,15,chr15_66265000_67266000
chr16,57155000,58156000,OncoArrayMeta,16,chr16_57155000_58156000
chr16,81679000,82680000,OncoArrayMeta,16,chr16_81679000_82680000
chr17,7303000,8304000,OncoArrayMeta,17,chr17_7303000_8304000
chr17,29599000,30600000,OncoArrayMeta,17,chr17_29599000_30600000
chr17,55956000,56957000,OncoArrayMeta,17,chr17_55956000_56957000
chr18,51272000,52273000,OncoArrayMeta,18,chr18_51272000_52273000
chr18,52731000,53732000,OncoArrayMeta,18,chr18_52731000_53732000
chr18,56246000,57247000,OncoArrayMeta,18,chr18_56246000_57247000
chr18,60461000,61462000,OncoArrayMeta,18,chr18_60461000_61462000
chr18,72536000,73537000,OncoArrayMeta,18,chr18_72536000_73537000
chr19,16714000,17715000,OncoArrayMeta,19,chr19_16714000_17715000
chr19,31668000,32669000,OncoArrayMeta,19,chr19_31668000_32669000
chr19,42201000,43202000,OncoArrayMeta,19,chr19_42201000_43202000
chr20,30848000,31849000,OncoArrayMeta,20,chr20_30848000_31849000
chr20,51955000,52956000,OncoArrayMeta,20,chr20_51955000_52956000
chr22,28389000,29390000,OncoArrayMeta,22,chr22_28389000_29390000
chrX,10983000,11984000,OncoArrayMeta,23,chrX_10983000_11984000
chrX,50141000,51142000,OncoArrayMeta,23,chrX_50141000_51142000
