CHR	BP	ANNOTATE
chr2	173425952	NA
chr2	173753946	NA
chr2	173608002	NA
chr2	173461504	NA
chr2	173462593	NA
chr2	173463514	NA
chr2	173724233	NA
chr2	173354423	NA
chr2	173590852	NA
chr2	173599844	NA
chr2	173371170	NA
chr2	173599233	NA
chr2	173599819	NA
chr2	173599371	NA
chr2	173599935	NA
chr2	173792437	NA
chr2	173589848	NA
chr2	173589332	NA
chr2	173462230	NA
chr2	173601481	NA
chr2	173331754	NA
chr2	172929901	NA
chr2	173599909	NA
chr2	173339216	NA
chr2	173679427	NA
chr2	173592606	NA
chr2	173592268	NA
chr2	173368295	NA
chr2	173428969	NA
chr2	173593150	NA
chr2	173685724	NA
chr2	173331303	NA
chr2	172964203	NA
chr2	173786680	NA
chr2	173753613	NA
chr2	173753777	NA
chr2	173753662	NA
chr2	173591265	NA
chr2	173429033	NA
chr2	173590387	NA
chr2	173781705	NA
chr2	173589876	NA
chr2	173370689	NA
chr2	173338660	NA
chr2	173331436	NA
chr2	173590835	NA
chr2	173332015	NA
chr2	173428874	NA
chr2	173589239	NA
chr2	173601476	NA
chr2	173369000	NA
chr2	173591543	NA
chr2	173423360	NA
chr2	173331510	NA
chr2	173423066	NA
chr2	173370459	NA
chr2	173608201	NA
chr2	173679287	NA
chr2	173488818	NA
chr2	172925252	NA
chr2	172929968	NA
chr2	173601873	NA
chr2	172964638	NA
chr2	173754162	NA
chr2	173463786	NA
chr2	173428871	NA
chr2	173339233	NA
chr2	172929537	NA
chr2	173592148	NA
chr2	173588663	NA
chr2	173332040	NA
chr2	173590854	NA
chr2	173792046	NA
chr2	172926211	NA
chr2	173599960	NA
chr2	173679371	NA
chr2	173786677	NA
chr2	173786274	NA
