"CHR","BP","TYPE1","TYPE2","COLOUR_HEX","TYPE2N"
1,204028177,"ChromHMM","Enhancer","#0000AA",7
1,204028834,"ChromHMM","Heterochromatin","#D3D3D3",3
1,204029211,"ChromHMM","Heterochromatin","#D3D3D3",3
1,204029603,"ChromHMM","Heterochromatin","#D3D3D3",3
1,204029748,"ChromHMM","Heterochromatin","#D3D3D3",3
1,204029890,"ChromHMM","Heterochromatin","#D3D3D3",3
1,204030362,"ChromHMM","Heterochromatin","#D3D3D3",3
1,204030656,"ChromHMM","Heterochromatin","#D3D3D3",3
1,204031233,"Conserved","Conserved","#F9A100",2
1,204031233,"ChromHMM","Heterochromatin","#D3D3D3",3
1,204032157,"ChromHMM","Heterochromatin","#D3D3D3",3
1,204456983,"ChromHMM","Heterochromatin","#D3D3D3",3
1,204464150,"DNaseI","DNaseI","#C9DD03",1
1,204464150,"Conserved","Conserved","#F9A100",2
1,204464150,"ChromHMM","Promoter","#00DD00",6
1,204464181,"DNaseI","DNaseI","#C9DD03",1
1,204464181,"Conserved","Conserved","#F9A100",2
1,204464181,"ChromHMM","Promoter","#00DD00",6
1,204480742,"ChromHMM","Transcribed","#E0E0E0",9
1,204484617,"ChromHMM","Promoter","#00DD00",6
1,204489500,"ChromHMM","Enhancer","#0000AA",7
1,204491551,"ChromHMM","Heterochromatin","#D3D3D3",3
1,204496829,"Conserved","Conserved","#F9A100",2
1,204496829,"ChromHMM","Heterochromatin","#D3D3D3",3
1,204497913,"ChromHMM","Heterochromatin","#D3D3D3",3
1,204518842,"ChromHMM","Heterochromatin","#D3D3D3",3
1,204519692,"ChromHMM","Heterochromatin","#D3D3D3",3
1,204527060,"ChromHMM","Heterochromatin","#D3D3D3",3
1,204527064,"ChromHMM","Heterochromatin","#D3D3D3",3
1,204537648,"ChromHMM","Transcribed","#E0E0E0",9
1,204541197,"ChromHMM","Transcribed","#E0E0E0",9
1,204541342,"DNaseI","DNaseI","#C9DD03",1
1,204541342,"ChromHMM","Enhancer","#0000AA",7
1,204546947,"ChromHMM","Heterochromatin","#D3D3D3",3
1,204556990,"ChromHMM","Heterochromatin","#D3D3D3",3
1,204559676,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205653056,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205653975,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205653978,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205655378,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205657570,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205662718,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205665167,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205667006,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205669322,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205670369,"Conserved","Conserved","#F9A100",2
1,205670369,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205675240,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205676088,"Conserved","Conserved","#F9A100",2
1,205676088,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205679239,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205681370,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205686523,"Conserved","Conserved","#F9A100",2
1,205686523,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205687348,"Conserved","Conserved","#F9A100",2
1,205687348,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205689807,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205691161,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205696615,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205701078,"Conserved","Conserved","#F9A100",2
1,205701078,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205701870,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205704580,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205710333,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205711974,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205714372,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205714616,"ChromHMM","Enhancer","#0000AA",7
1,205718858,"DNaseI","DNaseI","#C9DD03",1
1,205718858,"Conserved","Conserved","#F9A100",2
1,205718858,"ChromHMM","Promoter","#00DD00",6
1,205719532,"DNaseI","DNaseI","#C9DD03",1
1,205719532,"Conserved","Conserved","#F9A100",2
1,205719532,"ChromHMM","Promoter","#00DD00",6
1,205720483,"DNaseI","DNaseI","#C9DD03",1
1,205720483,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205723572,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205724302,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205731166,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205736285,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205738302,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205739266,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205741426,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205743425,"ChromHMM","Enhancer","#0000AA",7
1,205743663,"DNaseI","DNaseI","#C9DD03",1
1,205743663,"ChromHMM","Enhancer","#0000AA",7
1,205744138,"DNaseI","DNaseI","#C9DD03",1
1,205744138,"ChromHMM","Promoter","#00DD00",6
1,205759195,"ChromHMM","Heterochromatin","#D3D3D3",3
1,205762406,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10092933,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10135681,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10138585,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10138607,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10138649,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10138673,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10138860,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10142819,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10144973,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10145348,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10146757,"Conserved","Conserved","#F9A100",2
2,10146757,"ChromHMM","Repressed","#ED3333",10
2,10147201,"DNaseI","DNaseI","#C9DD03",1
2,10147201,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10701908,"DNaseI","DNaseI","#C9DD03",1
2,10701908,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10702099,"DNaseI","DNaseI","#C9DD03",1
2,10702099,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10702202,"DNaseI","DNaseI","#C9DD03",1
2,10702202,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10702823,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10707212,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10710730,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10717489,"ChromHMM","Transcribed","#E0E0E0",9
2,10718007,"ChromHMM","Transcribed","#E0E0E0",9
2,10720572,"ChromHMM","Enhancer","#0000AA",7
2,10720829,"ChromHMM","Enhancer","#0000AA",7
2,10721537,"ChromHMM","Transcribed","#E0E0E0",9
2,10722124,"ChromHMM","Transcribed","#E0E0E0",9
2,10722877,"ChromHMM","Transcribed","#E0E0E0",9
2,10723546,"ChromHMM","Transcribed","#E0E0E0",9
2,10724639,"DNaseI","DNaseI","#C9DD03",1
2,10724639,"ChromHMM","CTCF+Enhancer","#7070FF",5
2,10728331,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10729554,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10729897,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10730198,"Conserved","Conserved","#F9A100",2
2,10730198,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10730839,"DNaseI","DNaseI","#C9DD03",1
2,10730839,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10731327,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10732189,"ChromHMM","Transcribed","#E0E0E0",9
2,10733520,"ChromHMM","Enhancer","#0000AA",7
2,10733929,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10734766,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10736291,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10736355,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10736382,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10736389,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10736394,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10736478,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10736552,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10736821,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10737426,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10738018,"ChromHMM","Enhancer","#0000AA",7
2,10738134,"ChromHMM","Enhancer","#0000AA",7
2,10738176,"DNaseI","DNaseI","#C9DD03",1
2,10738176,"ChromHMM","Enhancer","#0000AA",7
2,10738428,"DNaseI","DNaseI","#C9DD03",1
2,10738428,"ChromHMM","Enhancer","#0000AA",7
2,10738449,"DNaseI","DNaseI","#C9DD03",1
2,10738449,"ChromHMM","Enhancer","#0000AA",7
2,10738563,"ChromHMM","Enhancer","#0000AA",7
2,10738684,"ChromHMM","Enhancer","#0000AA",7
2,10738931,"ChromHMM","Enhancer","#0000AA",7
2,10738972,"ChromHMM","Enhancer","#0000AA",7
2,10739087,"ChromHMM","Enhancer","#0000AA",7
2,10739128,"ChromHMM","Enhancer","#0000AA",7
2,10739210,"ChromHMM","Enhancer","#0000AA",7
2,10739592,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10739651,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10739800,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10739851,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10739945,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10739963,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10739999,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10740044,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10740093,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10740494,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10740729,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10741141,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10741347,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10741350,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10741412,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10742049,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10742491,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10743153,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10743191,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10743546,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10743654,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10743705,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10743998,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10744051,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10744136,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10744159,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10744247,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10744295,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10744327,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10744620,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10744874,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10744889,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10744930,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10745132,"Conserved","Conserved","#F9A100",2
2,10745132,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10745184,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10745187,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10745303,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10745474,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10745627,"Conserved","Conserved","#F9A100",2
2,10745627,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10745718,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10745870,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10746126,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10746341,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10746710,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10747013,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10747207,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10747246,"Conserved","Conserved","#F9A100",2
2,10747246,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10747271,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10748094,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10748257,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10748283,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10748343,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10748615,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10748647,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10748810,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10748970,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10749359,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10749375,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10749441,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10750090,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10750303,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10750355,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10751046,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10751062,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10751246,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10751407,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10751710,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10751736,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10752377,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10752426,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10752508,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10752664,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10753140,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10753323,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10753542,"DNaseI","DNaseI","#C9DD03",1
2,10753542,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10753687,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10753771,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10753804,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10753844,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10754178,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10754220,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10754231,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10754375,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10754420,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10754532,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10754649,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10754663,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10754792,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10755538,"ChromHMM","Enhancer","#0000AA",7
2,10755540,"ChromHMM","Enhancer","#0000AA",7
2,10755542,"ChromHMM","Enhancer","#0000AA",7
2,10755564,"ChromHMM","Enhancer","#0000AA",7
2,10755583,"ChromHMM","Enhancer","#0000AA",7
2,10755596,"ChromHMM","Enhancer","#0000AA",7
2,10755723,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10755779,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10756343,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10756636,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10756650,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10756665,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10756675,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10757101,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10757131,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10757132,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10757479,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10757557,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10757677,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10757838,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10758029,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10758371,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10758575,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10758657,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10758859,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10759126,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10759134,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10759149,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10759279,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10759363,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10759373,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10759432,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10759770,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10761484,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10761496,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10763339,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10763340,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10763400,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10773385,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10773508,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10776739,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10778522,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10781484,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10781605,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10781944,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10781975,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10785446,"Conserved","Conserved","#F9A100",2
2,10785446,"ChromHMM","Heterochromatin","#D3D3D3",3
2,10787314,"ChromHMM","Heterochromatin","#D3D3D3",3
2,20878105,"Conserved","Conserved","#F9A100",2
2,20878105,"ChromHMM","Heterochromatin","#D3D3D3",3
2,20878153,"Conserved","Conserved","#F9A100",2
2,20878153,"ChromHMM","Heterochromatin","#D3D3D3",3
2,20878406,"ChromHMM","Heterochromatin","#D3D3D3",3
2,20878820,"Conserved","Conserved","#F9A100",2
2,20878820,"ChromHMM","Heterochromatin","#D3D3D3",3
2,20880833,"Conserved","Conserved","#F9A100",2
2,20880833,"ChromHMM","Heterochromatin","#D3D3D3",3
2,20881840,"ChromHMM","Heterochromatin","#D3D3D3",3
2,43501802,"ChromHMM","Heterochromatin","#D3D3D3",3
2,43509140,"ChromHMM","Heterochromatin","#D3D3D3",3
2,43553949,"Conserved","Conserved","#F9A100",2
2,43553949,"ChromHMM","Heterochromatin","#D3D3D3",3
2,43555506,"DNaseI","DNaseI","#C9DD03",1
2,43555506,"ChromHMM","Heterochromatin","#D3D3D3",3
2,43637998,"ChromHMM","Heterochromatin","#D3D3D3",3
2,43638185,"ChromHMM","Heterochromatin","#D3D3D3",3
2,43638855,"Conserved","Conserved","#F9A100",2
2,43638855,"ChromHMM","Heterochromatin","#D3D3D3",3
2,43638947,"Conserved","Conserved","#F9A100",2
2,43638947,"ChromHMM","Heterochromatin","#D3D3D3",3
2,43738173,"ChromHMM","Heterochromatin","#D3D3D3",3
2,62757985,"ChromHMM","Heterochromatin","#D3D3D3",3
